Rangoon Green	#1c1e13
Raven	#727b89
Rebel	#3c1206
Red Beech	#7b3801
Red Berry	#8e0000
Red Damask	#da6a41
Red Devil	#860111
Red Oxide	#6e0902
Red Robin	#80341f
Red Stage	#d05f04
Redwood	#5d1e0f
Reef	#c9ffa2
Reef Gold	#9f821c
Regal Blue	#13f6a
Regent Grey	#86949f
Regent St Blue	#aad6e6
Remy	#feebf3
Reno Sand	#a86515
Resolution Blue	#2387
Revolver	#2c1632
Rhino	#2e3f62
Ribbon	#660045
Rice Cake	#fffef0
Rice Flower	#eeffe2
Rich Gold	#a85307
Rio Grande	#bbd009
Riptide	#8be6d8
River Bed	#434c59
Rob Roy	#eac674
Robins Egg Blue	#bdc8b3
Rock	#4d3833
Rock Blue	#9eb1cd
Rock Salt	#ffffff
Rock Spray	#ba450c
Rodeo Dust	#c9b29b
Rolling Stone	#747d83
Roman	#de6360
Roman Coffee	#795d4c
Romance	#fffefd
Romantic	#ffd2b7
Ronchi	#ecc54e
Roof Terracotta	#a62f20
Rope	#8e4d1e
Rose	#e7bcb4
Rose Bud	#fbb2a3
Rose Bud Cherry	#800b47
Rose of Sharon	#bf5500
Rose White	#fff6f5
Rosewood	#65000b
Roti	#c6a84b
Rouge	#a23b6c
Royal Heath	#ab3472
Rum	#796989
Rum Swizzle	#f9f8e4
Russett	#755a57
Rustic Red	#480404
Rusty Nail	#86560a
Saddle	#4c3024
Saddle Brown	#583401
Saffron	#f9bf58
Sage	#9ea587
Sahara	#b7a214
Sail	#b8e0f9
Salem	#97f4b
Salomie	#fedb8d
Salt Box	#685e6e
Saltpan	#f1f7f2
Sambuca	#3a2010
San Felix	#b6207
San Juan	#304b6a
San Marino	#456cac
Sand Dune	#826f65
Sandal	#aa8d6f
Sandrift	#ab917a
Sandstone	#796d62
Sandwisp	#f5e7a2
Sandy Beach	#ffeac8
Sangria	#92000a
Sanguine Brown	#8d3d38
Santa Fe	#b16d52
Santas Grey	#9fa0b1
Sapling	#ded4a4
Sapphire	#2f519e
Saratoga	#555b10
Sauvignon	#fff5f3
Sazerac	#fff4e0
Scampi	#675fa6
Scandal	#cffaf4
Scarlet Gum	#431560
Scarlett	#950015
Scarpa Flow	#585562
